,not_blank_or_descriptive_lines
0,"Sing every hour (Every hour, 'til the power)
"
1,"Every minute (Every minute, of the Lord)
"
2,"Every second (Every second, comes)
"
3,"Sing each and every millisecond (Down)
"
4,"We need you (We need you, sing 'til the power)
"
5,"We need you (We need you, of the Lord)
"
6,"We need you (Comes)
"
7,"Oh, we need you (Down)
"
8,"Sing 'til the power of the Lord comes down
"
9,"Sing 'til the power of the Lord comes down
"
10,"Sing 'til the power of the Lord comes down (Let everything that have breath praise God)
"
11,"Sing 'til the power of the Lord comes down ('Cause when we sing the glory of the Lord comes down, down)
"
12,"Sing 'til the power of the Lord comes down (Praising the Lord, praise God in the sanctuary)
"
13,"Sing 'til the power of the Lord comes down (For His mighty works and excellent grace and His mighty power, yeah)
"
14,"Sing 'til the power of the Lord comes down (Sing 'til the power of the Lord falls down)
"
15,"Sing 'til the power of the Lord comes down (We are to sing 'til the power of the Lord comes down)
"
16,"Sing 'til the power of the Lord comes down (Let us sing, let us sing, oh, sing)
"
17,"Sing 'til the power of the Lord comes down (Let us sing, let us sing, oh, sing)
"
18,"Sing every hour (Every hour, 'til the power)
"
19,"Every minute (Every minute, of the Lord)
"
20,"Every second (Every second, comes)
"
21,"Sing each and every millisecond (Down)
"
22,"We need you (We need you, sing 'til the power)
"
23,"We need you (We need you, of the Lord)
"
24,"We need you (Comes)
"
25,"Oh, we need you (Down)
"
26,"Sing 'til the power of the Lord comes down (Sing 'til the power of the Lord falls down)
"
27,"Sing 'til the power of the Lord comes down (We are to sing 'til the power of the Lord comes down)
"
28,"Sing every hour (Every hour, 'til the power)
"
29,"Every minute (Every minute, of the Lord)
"
30,"Every second (Every second, comes)
"
31,"Sing each and every millisecond (Down)
"
32,"We need you (We need you, sing 'til the power)
"
33,"We need you (We need you, of the Lord)
"
34,"We need you (Comes)
"
35,"Oh, we need you (Down)
"
36,"God is King, we the soldiers
"
37,"Ultrabeam out the solar
"
38,"When I get to Heaven's gates
"
39,"I ain’t gotta peek over
"
40,"Keepin' perfect composure
"
41,"When I scream at the chauffeur
"
42,"I ain't mean, I’m just focused
"
43,"I ain't mean, I'm just focused
"
44,"Pour the lean out slower
"
45,"Got us clean out of soda
"
46,"Before the flood, people judge
"
47,"They did the same thing to Noah
"
48,"Everybody wanted Yandhi
"
49,"Then Jesus Christ did the laundry
"
50,"They say the week start on Monday
"
51,"But the strong start on Sunday
"
52,"Won't be in bondage to any man
"
53,"John 8:33
"
54,"We the descendants of Abraham
"
55,"Ye should be made free
"
56,"John 8:36
"
57,"To whom the son set free is free indeed
"
58,"He saved a wretch like me
"
59,"Hallelujah, hallelujah, hallelujah, hallelujah
"
60,"Hallelujah, hallelujah, hallelujah, hallelujah
"
61,"Hallelujah, hallelujah, hallelujah, hallelujah
"
62,"Hallelujah, hallelujah, hallelujah, hallelujah
"
